version         iv  nb fichiers   lignes de valeurs (min-max)
V.2.4            4            1  112-112
V.2.5            5            6  167-188
V.2.5.1          6            4  145-237
V.2.5.2          7            2  237-237
V.2.6            8            3  188-238
BP2.6.1          9            2  180-181
BP2.6.2         10            1  273-273
BP2.7           12            7  289-298
BP2.7.1         13            2  238-254
BP2.7.2         14            4  247-295
BP2.7.3         15            1  299-299
BP2.8.0         17            9  246-302
BP2.8.1         18            7  306-306
BP2.9.0         19            1  282-282
BP2.9.1         20            6  281-357
BP2.9.3         22            3  357-357
BP2.9.4         23            2  353-361
BP2.9.8         28           17  128-128
None             ?            6  128-128
